Date,Type,Num Tokens/Size (MB),Price (€)
2024-07-05 17:34:28.125165,input,4,0.0001068
2024-07-05 17:35:15.033554,input,4,0.0001068
2024-07-05 17:37:40.738183,input,4,0.0001068
2024-07-05 17:39:50.139828,input,4,0.0001068
2024-07-05 17:47:44.978333,input,4,0.0001068
2024-07-05 17:49:09.668721,input,4,0.0001068
2024-07-05 17:49:10.695246,output,23,0.0012282
2024-07-05 17:49:58.083323,input,4,0.0001068
2024-07-05 17:49:59.102425,output,23,0.0012282
2024-07-05 17:58:23.416735,input,4,0.0001068
2024-07-05 17:58:24.531086,output,23,0.0012282
2024-07-05 17:58:52.111794,input,4,0.0001068
2024-07-05 17:58:53.387371,output,23,0.0012282
2024-07-05 17:59:09.254891,input,4,0.0001068
2024-07-05 17:59:10.517240,output,21,0.0011213999999999998
2024-07-05 17:59:59.345034,input,4,0.0001068
2024-07-05 18:00:00.582243,output,32,0.0017088
2024-07-05 18:01:40.815723,input,4,0.0001068
2024-07-05 18:01:41.933264,output,25,0.0013349999999999998
2024-07-05 18:03:26.216187,input,4,0.0001068
2024-07-05 18:03:27.617884,output,25,0.0013349999999999998
2024-07-05 18:03:27.672256,image,425,0.0113475
2024-07-05 18:08:40.100874,input,4,0.0001068
2024-07-05 18:08:41.480521,output,27,0.0014418
2024-07-05 18:08:41.540757,image,425,0.0113475
2024-07-05 18:09:48.215399,input,4,0.0001068
2024-07-05 18:09:49.371043,output,25,0.0013349999999999998
2024-07-05 18:09:49.430504,image,425,0.0113475
2024-07-05 18:10:27.910624,input,4,0.0001068
2024-07-05 18:10:29.103920,output,25,0.0013349999999999998
2024-07-05 18:10:29.160845,image,425,0.0113475
2024-07-05 18:11:26.104776,input,4,0.0001068
2024-07-05 18:11:27.369858,output,29,0.0015485999999999998
2024-07-05 18:11:27.426409,image,425,0.0113475
2024-07-05 18:31:25.282100,input,4,0.0001068
2024-07-05 18:31:26.519615,output,22,0.0011748
2024-07-05 18:31:26.574106,image,425,0.0113475
2024-07-05 18:32:24.255639,input,4,0.0001068
2024-07-05 18:32:25.288707,output,13,0.0006942
2024-07-05 18:32:25.344824,image,425,0.0113475
2024-07-05 18:32:28.163236,output,44,0.0023496
2024-07-05 18:32:28.184404,input,3,8.01e-05
2024-07-05 18:32:30.815805,output,45,0.0024029999999999998
2024-07-07 01:01:13.712307,image,425,0.0113475
2024-07-07 01:01:47.161423,image,425,0.0113475
2024-07-07 01:01:51.856397,output,45,0.0024029999999999998
2024-07-07 01:01:51.856695,input,3,8.01e-05
2024-07-07 01:01:53.902737,output,42,0.0022427999999999997
2024-07-07 01:01:53.918438,input,11,0.0002937
2024-07-07 01:02:04.451345,output,43,0.0022962
2024-07-10 18:18:35.294255,image,425,0.0113475
2024-07-10 18:19:17.985203,image,425,0.0113475
2024-07-10 18:19:27.958686,output,37,0.0019757999999999998
2024-07-10 18:19:27.958934,input,3,8.01e-05
2024-07-10 18:21:25.672867,image,425,0.0113475
2024-07-10 18:21:35.031232,output,126,0.0067284
2024-07-10 18:21:35.031530,input,3,8.01e-05
2024-07-10 18:23:44.193783,image,425,0.0113475
2024-07-10 18:23:51.037985,output,34,0.0018156
2024-07-10 18:23:51.038235,input,3,8.01e-05
2024-07-10 18:30:06.380530,image,425,0.0113475
2024-07-10 18:30:09.201335,output,36,0.0019223999999999999
2024-07-10 18:30:09.201445,input,3,8.01e-05
2024-07-10 18:30:21.024205,output,43,0.0022962
2024-07-10 18:30:21.066833,input,11,0.0002937
2024-07-10 18:31:36.446823,output,185,0.009878999999999999
